date,day,total_delay_time,n,mean_delay_time
2023-01-01T00:00:00Z,Sunday,125,41,3.048780487804878
2023-01-02T00:00:00Z,Monday,206,43,4.790697674418604
2023-01-03T00:00:00Z,Tuesday,129,46,2.8043478260869565
2023-01-04T00:00:00Z,Wednesday,250,64,3.90625
2023-01-05T00:00:00Z,Thursday,124,50,2.48
2023-01-06T00:00:00Z,Friday,193,57,3.3859649122807016
2023-01-07T00:00:00Z,Saturday,138,45,3.066666666666667
2023-01-08T00:00:00Z,Sunday,148,45,3.2888888888888888
2023-01-09T00:00:00Z,Monday,245,75,3.2666666666666666
2023-01-10T00:00:00Z,Tuesday,137,50,2.74
2023-01-11T00:00:00Z,Wednesday,229,56,4.089285714285714
2023-01-12T00:00:00Z,Thursday,232,68,3.411764705882353
2023-01-13T00:00:00Z,Friday,189,60,3.15
2023-01-14T00:00:00Z,Saturday,146,48,3.0416666666666665
2023-01-15T00:00:00Z,Sunday,108,42,2.5714285714285716
2023-01-16T00:00:00Z,Monday,157,57,2.754385964912281
2023-01-17T00:00:00Z,Tuesday,150,56,2.6785714285714284
2023-01-18T00:00:00Z,Wednesday,107,50,2.14
2023-01-19T00:00:00Z,Thursday,130,61,2.1311475409836067
2023-01-20T00:00:00Z,Friday,123,65,1.8923076923076922
2023-01-21T00:00:00Z,Saturday,525,49,10.714285714285714
2023-01-22T00:00:00Z,Sunday,278,45,6.177777777777778
2023-01-23T00:00:00Z,Monday,212,54,3.925925925925926
2023-01-24T00:00:00Z,Tuesday,165,64,2.578125
2023-01-25T00:00:00Z,Wednesday,272,61,4.459016393442623
2023-01-26T00:00:00Z,Thursday,173,63,2.746031746031746
2023-01-27T00:00:00Z,Friday,98,52,1.8846153846153846
2023-01-28T00:00:00Z,Saturday,154,56,2.75
2023-01-29T00:00:00Z,Sunday,208,47,4.425531914893617
2023-01-30T00:00:00Z,Monday,177,58,3.0517241379310347
2023-01-31T00:00:00Z,Tuesday,231,68,3.3970588235294117
2023-02-01T00:00:00Z,Wednesday,141,64,2.203125
2023-02-02T00:00:00Z,Thursday,188,61,3.081967213114754
2023-02-03T00:00:00Z,Friday,526,95,5.536842105263158
2023-02-04T00:00:00Z,Saturday,172,76,2.263157894736842
2023-02-05T00:00:00Z,Sunday,146,50,2.92
2023-02-06T00:00:00Z,Monday,292,99,2.9494949494949494
2023-02-07T00:00:00Z,Tuesday,381,80,4.7625
2023-02-08T00:00:00Z,Wednesday,236,77,3.064935064935065
2023-02-09T00:00:00Z,Thursday,269,83,3.2409638554216866
2023-02-10T00:00:00Z,Friday,222,68,3.264705882352941
2023-02-11T00:00:00Z,Saturday,159,50,3.18
2023-02-12T00:00:00Z,Sunday,160,52,3.076923076923077
2023-02-13T00:00:00Z,Monday,119,65,1.8307692307692307
2023-02-14T00:00:00Z,Tuesday,150,76,1.9736842105263157
2023-02-15T00:00:00Z,Wednesday,143,78,1.8333333333333333
2023-02-16T00:00:00Z,Thursday,174,77,2.25974025974026
2023-02-17T00:00:00Z,Friday,248,73,3.3972602739726026
